location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Park,Evening,Saturday,4,None,No,3,58,No,Assault,28.56625824655241,77.21443100520953,Type: Assault | Location: Park | Time: Evening | Weapon: None | Suspects: 4,2022-12-18
Street,Afternoon,Saturday,2,Blunt Object,Yes,0,17,No,Homicide,28.60758629510716,77.22874768507675,Type: Homicide | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2024-06-01
Commercial,Morning,Wednesday,1,Gun,No,9,35,No,Theft,28.612231122958995,77.20864848956714,Type: Theft | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 1,2022-05-01
Street,Afternoon,Sunday,4,None,Yes,3,52,No,Vandalism,28.61155295787712,77.22875057037238,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: None | Suspects: 4,2024-06-24
Street,Afternoon,Monday,4,Blunt Object,No,7,17,No,Theft,28.60675309300513,77.22736027887126,Type: Theft | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2017-01-02
Parking Lot,Morning,Tuesday,3,None,Yes,5,49,No,Homicide,28.59650500615704,77.20265216001259,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 3,2019-11-03
Park,Afternoon,Monday,2,Knife,No,9,21,No,Robbery,28.567183960919937,77.21325618607545,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Knife | Suspects: 2,2017-03-14
Parking Lot,Night,Saturday,5,Gun,Yes,2,21,Yes,Assault,28.60476496482201,77.20268446055563,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 5,2015-03-27
Residential,Afternoon,Sunday,3,Gun,Yes,3,18,Yes,Theft,28.61889943661078,77.19545217014795,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 3,2019-02-28
Street,Evening,Wednesday,2,Blunt Object,Yes,6,46,Yes,Assault,28.610047378941285,77.23460787654989,Type: Assault | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 2,2017-10-08
Residential,Morning,Tuesday,2,Blunt Object,No,9,37,No,Vandalism,28.617407125410864,77.20203882548067,Type: Vandalism | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 2,2019-10-05
Commercial,Afternoon,Monday,5,Gun,No,1,56,Yes,Vandalism,28.61865038063119,77.20553062621374,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Gun | Suspects: 5,2016-09-04
Parking Lot,Night,Wednesday,2,Gun,No,0,31,Yes,Vandalism,28.60332601305705,77.19995719608225,Type: Vandalism | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 2,2023-10-13
Park,Night,Friday,1,Gun,No,4,47,No,Homicide,28.56633817944408,77.20884063877963,Type: Homicide | Location: Park | Time: Night | Weapon: Gun | Suspects: 1,2015-04-08
Street,Morning,Wednesday,2,Blunt Object,No,10,33,Yes,Robbery,28.60805524523367,77.23225857514824,Type: Robbery | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 2,2018-11-21
Parking Lot,Evening,Tuesday,2,Gun,No,4,57,Yes,Theft,28.595414254757127,77.20221910901431,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 2,2021-01-06
Street,Morning,Tuesday,3,Gun,Yes,2,22,Yes,Vandalism,28.605340020520742,77.23259346078285,Type: Vandalism | Location: Street | Time: Morning | Weapon: Gun | Suspects: 3,2023-04-29
Alley,Afternoon,Sunday,4,None,No,7,52,No,Robbery,28.595382998215303,77.20205625183367,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 4,2020-02-02
Park,Morning,Sunday,1,Blunt Object,No,1,51,Yes,Assault,28.56999308545883,77.21326186110504,Type: Assault | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 1,2018-09-11
Alley,Afternoon,Friday,3,Blunt Object,No,6,30,Yes,Robbery,28.59945795577515,77.20150072052779,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2023-05-02
Alley,Night,Tuesday,2,None,No,4,17,No,Burglary,28.59586955709116,77.19887201008657,Type: Burglary | Location: Alley | Time: Night | Weapon: None | Suspects: 2,2022-11-04
Street,Evening,Thursday,1,Gun,No,10,21,No,Vandalism,28.60687625998436,77.22893371100332,Type: Vandalism | Location: Street | Time: Evening | Weapon: Gun | Suspects: 1,2024-06-30
Street,Night,Thursday,2,Gun,Yes,9,27,Yes,Robbery,28.60905081063669,77.2268172449618,Type: Robbery | Location: Street | Time: Night | Weapon: Gun | Suspects: 2,2023-02-23
Commercial,Night,Monday,1,Blunt Object,Yes,3,30,Yes,Vandalism,28.61465468171784,77.20625592390587,Type: Vandalism | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 1,2020-08-24
Commercial,Evening,Sunday,2,Knife,Yes,9,33,No,Robbery,28.61194864886705,77.21385529802295,Type: Robbery | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 2,2024-08-07
Residential,Afternoon,Friday,4,Gun,No,0,44,Yes,Homicide,28.61611503420582,77.19938623030073,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 4,2020-06-21
Residential,Afternoon,Sunday,5,Blunt Object,No,0,32,Yes,Robbery,28.61950598595868,77.19675696560891,Type: Robbery | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2021-04-13
Alley,Morning,Wednesday,3,Knife,No,6,31,No,Theft,28.602346718534747,77.19534746004847,Type: Theft | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 3,2023-10-08
Parking Lot,Evening,Saturday,5,Knife,No,10,29,Yes,Vandalism,28.60278083566316,77.20010550512563,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 5,2017-09-14
Residential,Afternoon,Friday,1,Gun,No,9,29,No,Robbery,28.615485383701376,77.2024556204065,Type: Robbery | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 1,2016-05-24
Street,Afternoon,Wednesday,5,Blunt Object,No,2,40,No,Theft,28.60631846220828,77.23376662248775,Type: Theft | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2015-11-15
